Date,Citibank,Morgan Stanley,Goldman Sachs,J.P. Morgan
2005-08-31,0.0117891954,-0.0031354106,0.0121995999,0.0092315956
2005-09-01,-0.0013708156,0.0104187735,0.0174492085,0.0050162881
2005-09-02,0.003889229,-0.0110894937,0.0007955799,0.0014679976
2005-09-06,0.0095715864,0.0216407231,0.0121897095,0.0134857516
2005-09-07,0.0036117517,0.0023107837,0.0027926347,0.0092565519
2005-09-08,-0.0004498695,0.0032661288,0.0021756156,-0.0071653771
2005-09-09,0.0038254096,0.0057449061,0.008770354,0.0051963339
2005-09-12,0.0089665993,0.0081873762,0.0157527936,-0.0071797817
2005-09-13,0.0019995423,-0.0067988856,-0.0067796864,-0.0121492045
2005-09-14,-0.0026607805,-0.0022817836,-0.0110921078,0.0026354318
2005-09-15,0.0011116052,-0.0089575184,0.0004313632,-0.0032126458
2005-09-16,0.0093271422,0.0,0.021129841,0.0251978018
2005-09-19,-0.0019801848,0.0048076923,-0.0010135388,-0.0114318942
2005-09-20,-0.0046296428,0.0028708517,-0.0019445046,-0.0017346343
2005-09-21,-0.0073089435,-0.0124046178,-0.0200762638,-0.0150593981
2005-09-22,0.0080320748,0.0086956715,0.0243775934,0.0070568072
2005-09-23,0.0013280346,-0.0049808811,0.0081856624,-0.0052554745
2005-09-26,-0.0033156499,-0.0005775703,0.0044362517,-0.004402759
2005-09-27,0.0,0.0088614718,-0.0027500167,-0.0011791569
2005-09-28,0.0019959947,0.0064922667,0.0035932147,0.001180549
2005-09-29,0.0101815098,0.0216277561,0.0093255872,0.0126768875
2005-09-30,-0.0026292332,0.0016713278,0.0029698152,-0.0122270167
2005-10-03,-0.0002196968,-0.0014830924,0.0005757526,0.0055997347
2005-10-04,-0.0037354691,-0.0116970106,-0.0224414628,-0.015240358
2005-10-05,-0.0015438509,-0.0045086981,-0.0098385303,-0.0044641967
2005-10-06,0.0035342963,0.0030194375,-0.0069639066,0.0062779968
2005-10-07,-0.0004401981,0.0056443836,0.0054733601,0.0071301842
2005-10-10,-0.0039639242,0.000935435,0.0079952539,-0.0112094979
2005-10-11,-0.0095069381,-0.0085981121,-0.0081005737,-0.0062648866
2005-10-12,-0.0044642857,-0.0205505275,-0.0161633428,-0.0012008706
2005-10-13,0.0026906099,-0.0048123194,-0.0213575612,0.0144274121
2005-10-14,0.0071555946,0.0096711797,0.0121046386,0.009777837
2005-10-17,-0.0051065454,0.0067049424,0.0218245302,-0.0023474764
2005-10-18,-0.0078107564,-0.0032349763,0.0003416745,-0.0067647059
2005-10-19,0.0096715878,0.0143184419,0.0351012139,0.0284275985
2005-10-20,-0.0122521721,-0.0186335777,-0.0202144972,0.000575871
2005-10-21,-0.0006765629,-0.0007671845,0.0001683958,0.0109352806
2005-10-24,0.0167005053,0.0249520931,0.0381409962,0.0179333044
2005-10-25,0.0026637336,-0.0022472471,0.002027575,-0.0011184844
2005-10-26,0.0106264952,0.0007507695,0.005665698,0.0106382136
2005-10-27,-0.0052573801,-0.0056264066,-0.0146478873,-0.0019390306
2005-10-28,0.0107905614,0.0171633346,0.0173976803,0.0113794064
2005-10-31,-0.0026144052,0.0089004265,0.01453119,0.0049396269
2005-11-01,-0.0083005419,-0.0253630031,0.0018200126,0.0062806938
2005-11-02,0.0033039648,0.0028286065,0.0199842578,0.0094980466
2005-11-03,-0.0021953897,-0.0086498496,0.0005420274,-0.002957016
2005-11-04,0.00330033,-0.0058801403,0.0136223687,0.0059315449
2005-11-07,0.0182017281,0.0059149208,-0.0138211126,0.0099168853
2005-11-08,0.0036614517,-0.003414264,-0.0126209607,-0.0090233546
2005-11-09,0.0047210558,0.0102779024,0.0092534507,0.0101767809
2005-11-10,0.0194360866,0.0258100782,0.0108003033,0.0159066539
2005-11-11,0.0056568449,0.0152433055,-0.000691798,-0.0015658142
2005-11-14,0.0049999875,0.0059696455,-0.0058461154,-0.0033977263
2005-11-15,-0.0120231925,-0.0079122998,-0.0098267096,-0.0104904534
2005-11-16,0.0006294335,-0.0143193226,0.0016409471,0.0021203552
2005-11-17,0.0052421892,0.0115850862,0.0173974967,0.003173737
2005-11-18,0.0098039467,0.008907508,0.008971689,0.0026364092
2005-11-21,0.0020656889,0.0093693694,0.0063079646,-0.0055219302
2005-11-22,0.0084518779,0.0076758479,0.001434952,0.0100476203
2005-11-23,0.0085854086,0.0159432592,0.011161357,0.0151831933
2005-11-25,0.0036481922,0.0073234876,0.0002982771,0.0020629707
2005-11-28,-0.0044426736,-0.019214125,-0.0225170676,0.0010293618
2005-11-29,-0.0042596471,0.0024708613,-0.0049581157,0.0015423393
2005-11-30,-0.0110001916,-0.0135563383,-0.0114219244,-0.0182237941
2005-12-01,0.0061791967,0.0165982512,0.0102356694,0.0083660131
2005-12-02,-0.0016376418,0.0056179776,0.0061406433,0.010889344
2005-12-05,0.001640328,0.0026187326,0.0150289973,-0.0035907667
2005-12-06,0.0008188209,-0.0149747519,-0.0130778276,0.0
2005-12-07,-0.0038862631,-0.0047728655,-0.0108140966,-0.0097811331
2005-12-08,-0.0041067762,0.0010657549,-0.0096235277,0.0046789965
2005-12-09,0.0084536206,-0.0070972674,0.0079291434,0.0121603357
2005-12-12,-0.0047025516,0.010007166,0.0026992981,0.0007669479
2005-12-13,0.0156121738,0.0150389066,0.0125375284,0.0066410725
2005-12-14,0.0040453075,0.0012201499,-0.0152688698,0.0035523725
2005-12-15,-0.010878312,-0.0092270022,-0.0102599857,0.0007586094
2005-12-16,0.0054990061,-0.0005271306,-0.0140296411,0.0053056844
2005-12-19,-0.004051043,-0.0036920358,-0.0108300632,-0.0047751444
2005-12-20,0.0008134919,0.0183518799,0.0058339648,0.0
2005-12-21,0.0012192766,0.0069312425,0.0115207134,0.0058081821
2005-12-22,-0.0016237426,0.0063672172,0.005341293,0.0055233992
2005-12-23,0.0010164668,-0.0011969904,0.0009375967,0.0037453684
2005-12-27,-0.0119821163,-0.0073617531,0.0011708219,-0.0024876368
2005-12-28,-0.0036998726,-0.0060365471,-0.0021830034,-0.004738105
2005-12-29,0.0022693954,-0.0086760366,0.0003125566,-0.0012527938
2005-12-30,-0.0010292302,-0.0068265183,-0.0024215356,-0.0042649773
2006-01-03,0.015660429,0.0276700554,0.0090830476,0.012597632
2006-01-04,-0.0184621751,0.0006859372,-0.0138123618,-0.0141826328
2006-01-05,0.0049607773,0.0027420738,-0.0003933827,0.0030288491
2006-01-06,0.0,0.0010254999,0.0141687263,0.007045747
2006-01-09,-0.0047306005,0.010585607,0.012030449,0.0162418291
2006-01-10,0.003099814,0.0005068762,0.0125776518,0.0014753382
2006-01-11,0.0090646767,0.0059101485,-0.000454427,-0.0007365333
2006-01-12,0.0010208249,-0.0016786805,0.0021216867,-0.018427518
2006-01-13,-0.0022434755,-0.0015133681,0.0076370132,-0.0007510137
2006-01-17,-0.010016402,-0.0095991915,-0.005027758,-0.0052604963
2006-01-18,-0.001445348,-0.0061214078,-0.0016592579,-0.0108285069
2006-01-19,-0.0086848882,0.0153977243,0.0109542348,-0.0056007639
2006-01-20,-0.0469336677,-0.0252738003,-0.0177851209,-0.0258577054
2006-01-23,0.0067848677,0.0108902683,0.0108794353,0.0057818924
2006-01-24,0.0002174043,0.0035909542,0.0009784376,-0.0041807944
2006-01-25,0.00478153,0.0081785484,0.0042105113,0.0097087114
2006-01-26,0.0168722003,0.0135204162,0.0287510936,0.0288461538
2006-01-27,-0.002978077,0.0135067198,0.0112082101,0.0040414246
2006-01-30,-0.0010667804,-0.0018098223,0.0066934863,0.002515673
2006-01-31,-0.0051260657,0.0128564863,0.0098663405,-0.0025093602
2006-02-01,-0.0053671105,0.0061839055,0.0032566867,0.0032704654
2006-02-02,-0.0248219303,-0.0090571241,0.0057158772,0.0027582998
2006-02-03,-0.0026560027,0.0027745879,0.00154365,-0.0115029502
2006-02-06,0.0024412028,0.0047200684,0.0005604736,-0.0022767519
2006-02-07,-0.002656657,-0.0194395108,-0.0233861563,-0.00456392
2006-02-08,0.0068812564,0.0122253595,0.0119013697,0.0086602144
2006-02-09,0.0094796912,-0.0014689081,-0.0020546479,0.00429298
2006-02-10,0.0037126273,-0.0142203171,-0.0002840468,0.0037716369
2006-02-13,-0.0060922932,-0.008290499,-0.0082380798,-0.0037574651
2006-02-14,0.009632277,0.0043470824,0.0152524532,0.0082976616
2006-02-15,0.0028187076,0.0131513401,0.0236986883,0.0054863344
2006-02-16,0.0041080951,0.0072296745,0.0052362891,0.0124007937
2006-02-17,-0.0043066323,-0.0079934422,-0.0024674504,-0.0009799363
2006-02-21,-0.0015138019,-0.000657803,-0.0143602865,-0.001961697
2006-02-22,0.0153778987,0.0133289781,0.01449984,0.0174446924
2006-02-23,-0.0017064591,-0.0118545628,-0.0107880987,-0.0072446028
2006-02-24,0.0010683761,-0.0003286114,0.0013892539,0.0133787153
2006-02-27,-0.0014941558,-0.0014795331,-0.0023584697,-0.0019202592
2006-02-28,-0.0087643782,-0.017780737,-0.0175915302,-0.0105820822
2006-03-01,0.0034504549,0.007877992,0.0131644213,0.0119105982
2006-03-02,-0.0103158997,-0.0056544153,0.0059378696,0.0007206101
2006-03-03,-0.0028229924,-0.0011707643,0.0138888889,-0.0016802688
2006-03-06,0.0037020513,0.0033489115,-0.0067123014,-0.0038470786
2006-03-07,0.006725984,-0.0043390856,-0.0051027788,0.0012068549
2006-03-08,0.0060344569,-0.0098893731,-0.0124063904,0.0028929122
2006-03-09,-0.0040702529,-0.0069409176,-0.0055443047,-0.0132211304
2006-03-10,0.0107550012,0.0078417832,-0.0011997036,0.0019488916
2006-03-13,-0.0031921686,-0.0055818337,-0.0057231541,-0.0017019207
2006-03-14,0.0072587405,0.0210919881,0.0618248788,0.0077934728
2006-03-15,-0.0036031836,-0.0064967517,-0.0028108553,-0.0038666021
2006-03-16,0.0065943543,0.0050301812,-0.0087919329,0.0024259825
2006-03-17,0.0019019315,0.0053386554,0.0180784005,0.0019361568
