Date,Citibank,Morgan Stanley,Goldman Sachs,J.P. Morgan
2007-07-31,-0.0131383388,-0.0114533662,-0.0378052969,-0.0165363575
2007-08-01,0.0060124284,0.0079849383,0.003504322,0.0084072487
2007-08-02,0.0083244269,-0.0077663253,-0.0081481111,0.0047318386
2007-08-03,-0.0321760842,-0.0510332177,-0.0415022603,-0.021080915
2007-08-06,0.0575240317,0.056252063,0.0451357987,0.0334478564
2007-08-07,0.0049637932,0.0046853507,0.0184248742,0.0050986255
2007-08-08,0.0185223299,0.0164774905,0.0107189699,0.0258049846
2007-08-09,-0.0523337933,-0.0547484027,-0.0571650431,-0.0503117631
2007-08-10,0.0021321962,-0.028797961,-0.0096021948,0.0018112294
2007-08-13,-0.0097872468,-0.0064967517,-0.0166204986,-0.0094914802
2007-08-14,-0.0189084403,-0.0345405271,-0.0436619718,-0.0120922422
2007-08-15,-0.0010950504,-0.0164988011,-0.0285714639,-0.0069283835
2007-08-16,0.0425345182,0.0413208539,0.0300182667,0.0574418837
2007-08-17,0.0264984353,0.0552823291,0.030320835,0.033868418
2007-08-20,-0.0086048186,0.0069098506,-0.0128000286,-0.0110613917
2007-08-21,-0.0068195661,0.0036705873,0.0157443915,-0.0062379219
2007-08-22,0.0076986724,0.0190808876,0.0137337762,-0.0043290259
2007-08-23,-0.0016518439,0.0034327042,-0.0021923605,-0.0071739565
2007-08-24,0.0031023785,0.0035764734,0.0125633577,0.0061310053
2007-08-27,-0.0146391876,-0.0125503717,-0.0099037392,-0.0226333183
2007-08-28,-0.0345260519,-0.0464459438,-0.039336893,-0.0291694945
2007-08-29,0.0175552798,0.0072403982,0.016203592,0.0121560327
2007-08-30,-0.0153354888,-0.0171540437,-0.0134699285,-0.0036256514
2007-08-31,0.0140601345,0.0367353557,0.0270159287,0.0125085055
2007-09-04,0.0070392877,0.0250120414,0.027214409,0.0175201932
2007-09-05,-0.0256301755,-0.0214296731,-0.016537638,-0.024944835
2007-09-06,-0.0073912913,-0.0009590953,0.0077048255,0.0009056147
2007-09-07,-0.0039422207,0.0,-0.0011161793,-0.0156073064
2007-09-10,-0.0039577574,0.009280032,0.0258688407,0.0094209559
2007-09-11,0.0156733024,0.0072923111,-0.0005991014,0.0138857501
2007-09-12,-0.0054336013,-0.0012590809,-0.005286109,-0.001571621
2007-09-13,0.0131118879,0.0524740317,0.0325426069,0.025410321
2007-09-14,0.0060396634,-0.0101811647,0.011248448,-0.0013157237
2007-09-17,-0.0130789153,-0.0181515199,-0.0156356318,-0.0054896793
2007-09-18,0.0508364645,0.0554613739,0.0687063532,0.0558621979
2007-09-19,-0.0020673971,-0.0216027289,0.0249376559,-0.0052279381
2007-09-20,-0.0221670017,-0.0358048939,-0.0095863796,-0.0128232289
2007-09-21,0.0065678093,-0.002939734,0.0316906453,0.0036201449
2007-09-24,-0.0193643694,-0.0333643844,0.002143047,-0.0167621681
2007-09-25,-0.0060098477,-0.0147696578,0.0022335267,-0.0051791541
2007-09-26,0.005182453,0.0260714034,0.0175913092,0.0006508243
2007-09-27,0.0070891257,0.0250913447,0.0101113554,0.001734186
2007-09-28,-0.0044794711,-0.0240124389,-0.0001844912,-0.0084397102
2007-10-01,0.0224983924,0.0160317778,0.0287902134,0.0216063073
2007-10-02,0.0029337677,0.0326510847,0.0226029603,0.0074770133
2007-10-03,0.0006268032,0.0136157644,-0.0029383299,-0.0033927057
2007-10-04,-0.005429121,0.001641806,-0.0061579457,0.0053191489
2007-10-05,0.0140667902,0.0266726415,0.0112856961,0.0069841693
2007-10-08,-0.0103519669,-0.0139332362,-0.0067395755,-0.0029424757
2007-10-09,-0.0037656653,0.0169266112,0.0539301622,0.0027403247
2007-10-10,-0.0100798359,-0.0225792023,-0.0136287418,-0.0138742905
2007-10-11,0.0250318586,-0.0069598846,-0.0293719036,-0.0053293541
2007-10-12,-0.0093129137,0.0028333135,0.0198681416,0.0034290613
2007-10-15,-0.0340505903,-0.0171004015,-0.0180681711,-0.0117471166
2007-10-16,-0.0313581319,-0.0121027992,-0.0196651002,-0.0250702183
2007-10-17,-0.0029024068,0.0078100303,0.0124093447,0.0279316775
2007-10-18,-0.0185849035,-0.0062299956,0.0010105044,-0.0101357992
2007-10-19,-0.033538632,-0.0527523073,-0.0445907559,-0.019172156
2007-10-22,0.0059017941,0.0103308957,0.0206256188,0.0077743003
2007-10-23,-0.0039897019,0.0164562869,0.0071113604,0.0125633681
2007-10-24,-0.0146088174,-0.0114743793,0.0060779408,0.0071833045
2007-10-25,-0.0141081392,-0.0141516778,0.0068408362,-0.0047547223
2007-10-26,0.0339558584,0.0448386935,0.0408541156,0.0275787411
2007-10-29,0.0014074736,0.0230008957,0.0334435405,-0.013736306
2007-10-30,-0.0135862921,-0.0117700171,-0.0142733933,-0.0023569103
2007-10-31,-0.0049869531,0.0270270889,0.0315815584,0.0094501501
2007-11-01,-0.0809069069,-0.0719596172,-0.0310987055,-0.0570212766
2007-11-02,-0.0202545258,-0.0563921197,-0.0441696877,-0.0263988718
2007-11-05,-0.0485024876,-0.056196976,-0.048824071,-0.0088065349
2007-11-06,-0.0228412591,-0.0194279906,0.0218416824,0.0313303951
2007-11-07,-0.0476054235,-0.0609062396,-0.040240235,-0.0423939913
2007-11-08,-0.0152649084,0.0486423334,-0.0197963915,0.0087594456
2007-11-09,0.0060790274,0.0096870529,0.0066209393,-0.0070406006
2007-11-12,0.014199432,-0.0079335976,0.0159939666,0.0018907586
2007-11-13,0.0694071706,0.0388692765,0.0853708975,0.0627506502
2007-11-14,0.0038997047,-0.0044754743,0.0011586209,0.0022198225
2007-11-15,-0.0405105612,-0.04207878,-0.0269598134,-0.0358804635
2007-11-16,-0.0167726669,-0.0069457105,-0.0077966874,-0.0101079488
2007-11-19,-0.0588235294,-0.0334593749,-0.020910131,-0.0399164771
2007-11-20,-0.01875,-0.0136906119,-0.0138750208,0.0062847959
2007-11-21,-0.0213376178,-0.0380726155,-0.0366930115,-0.0228201051
2007-11-23,0.031565286,0.0284477645,0.0333174033,0.031219297
2007-11-26,-0.0315457413,-0.0388855089,-0.0417128565,-0.0355185212
2007-11-27,-0.0123778111,0.0385818136,0.0283442038,0.0467127792
2007-11-28,0.0649735528,0.0742972103,0.0665166731,0.0380165543
2007-11-29,0.0,-0.021682243,-0.0138009799,-0.0070517972
2007-11-30,0.0312790529,0.0072602407,0.010072172,0.0451316589
2007-12-03,-0.0072071892,-0.0083460165,0.001103071,-0.0089872865
2007-12-04,-0.0154265151,-0.0434200659,-0.0514346073,-0.0234460744
2007-12-05,0.035023023,0.0019996601,0.0141250534,0.0169875417
2007-12-06,0.0195904011,0.0293354814,0.0194721896,0.0291758784
2007-12-07,-0.0011644658,0.0021325513,-0.0207630943,-0.002813179
2007-12-10,0.0134071872,0.0518475537,0.0290054983,0.029079773
2007-12-11,-0.044291123,-0.0812947964,-0.0582490192,-0.0312104399
2007-12-12,-0.0529641187,0.0084083682,0.0067724747,0.0045712452
2007-12-13,-0.0146171142,-0.0033749852,-0.0192868848,-0.0084507905
2007-12-14,-0.0099967944,0.001991992,0.0105046146,-0.0122376972
2007-12-17,0.0022801694,-0.0153081514,-0.009683358,-0.0148230528
2007-12-18,-0.0126747606,-0.029477065,-0.0341274497,-0.0141476985
2007-12-19,-0.0055957277,0.0418140628,0.0131507571,0.0018222778
2007-12-20,-0.0105925585,0.025758725,-0.0072982267,-0.0147793997
2007-12-21,0.0117096021,0.0583998454,0.0341935564,0.0180013608
2007-12-24,0.0244708801,0.0110355345,0.0225190881,0.0163228516
2007-12-26,-0.0171077734,0.000545734,0.011058207,0.002453647
2007-12-27,-0.0292282233,-0.0305454545,-0.0218745902,-0.0289274595
2007-12-28,-0.0091340052,-0.0018754501,-4.71573e-05,-0.0087076308
2007-12-31,0.0051212019,-0.0020668921,0.0146739689,0.0090153495
2008-01-02,-0.0176629827,-0.0406703061,-0.0346430918,-0.0339061611
2008-01-03,0.0003456985,-0.0001963101,-0.0132948455,-0.0068768559
2008-01-04,-0.0238506543,-0.0321947395,-0.0239699429,-0.022683882
2008-01-07,0.0007082578,-0.0200810957,-0.0260090891,0.0100171024
2008-01-08,-0.0396320303,-0.0395363064,-0.0268576804,-0.0396709966
2008-01-09,0.0128960946,0.0286637488,0.0118733509,0.0141057175
2008-01-10,0.0225537,0.0142468049,0.02691006,0.0265773486
2008-01-11,0.0160085375,-0.0004131584,0.0092935908,-0.0113719085
2008-01-14,0.0175070024,0.0105394299,0.0146421904,0.0122369062
2008-01-15,-0.0729525518,-0.036196338,-0.0414579779,-0.0529497811
2008-01-16,-0.025983668,0.0055166135,0.021780781,0.0576972713
2008-01-17,-0.0487804432,-0.045157186,-0.0330126785,-0.0335505431
2008-01-18,-0.0204327159,-0.0030939006,-0.0197402298,-0.0112387859
2008-01-22,-0.0020449898,0.0758146292,0.0185887232,0.032078833
2008-01-23,0.0803278934,0.0653204629,0.0456237711,0.1189427284
2008-01-24,0.0367981099,-0.0090909283,-0.0009529164,-0.0166229655
2008-01-25,-0.0252469605,-0.045676381,-0.0393072395,-0.0293594313
2008-01-28,0.0379129363,0.0143178772,0.0255003664,0.0442255051
2008-01-29,0.0094032767,-0.0026215164,-0.001019093,0.0412552337
2008-01-30,-0.001074948,-0.0167811973,0.0127518488,-0.0021075447
2008-01-31,0.0104018082,0.0146000203,0.0050365147,0.0010560507
2008-02-01,0.0539580453,-0.0220916092,0.0412427756,0.0179324465
2008-02-04,-0.0158301856,-0.0045596062,-0.0335932045,-0.0420725181
2008-02-05,-0.0742642406,-0.0514261514,-0.0544820809,-0.0504111196
2008-02-06,-0.0048058706,-0.0133889374,-0.0141683503,-0.0038732742
2008-02-07,-0.0081724068,-0.0015572858,0.0175776515,0.0317932289
2008-02-08,-0.0250936779,-0.0376560152,-0.0177990123,-0.028596785
2008-02-11,-0.0084517176,-0.0152813155,-0.006414775,-0.0107257417
2008-02-12,0.0154978687,0.0042323067,-0.028084151,-0.0009226529
2008-02-13,0.0049598931,0.0121751583,-0.0026017216,0.0182405214
2008-02-14,-0.0227790438,-0.0141105945,-0.0200909931,-0.0337867816
2008-02-15,-0.0101009754,-0.0070389256,0.0104780586,0.0150199245
2008-02-19,-0.0062794583,-0.0196124291,-0.0258393638,-0.0097109364
2008-02-20,0.0067140483,0.0496504435,0.0198503852,0.0074713982
2008-02-21,-0.0172616481,-0.0087256259,-0.0117348491,-0.0018540439
2008-02-22,0.0027943992,0.0236275434,0.0145002514,0.0199674948
